l,mu,rho,eta,dp_dx,B,Y,MI-DL_pi1,SI-DL_pi1
1.0,0.007450444577,7.597439228,2.379976983,0.3625038572,0.6908746175,1724.5054342278133,36.86202448973717,35.15677244533076
1.0,0.004425856721,5.964096806,0.8713179319,0.4874266024,0.1284248335,5009.869769856025,53.22255094654318,49.20654744025263
1.0,0.006404264817,7.083115012,0.93868611,0.127583915,0.4573815615,760.7883772899739,28.105277003706814,27.065124706854178
1.0,0.001195412321,0.2123833331,2.967994225,0.3096026775,0.1294927658,1602.3105880009882,35.99676538140201,33.63699282393575
1.0,0.008988031063,0.1895745645,0.5418177626,0.4506017338,0.4227039533,36.16440259482081,10.196384337897706,10.068919608470253
1.0,0.001290603697,0.7766438057,6.705768637,0.3564072818,0.1421757123,5581.920422243467,55.297935700143306,50.70628067165117
1.0,0.001652989174,0.4208354755,0.1533701995,0.261616982,0.2636548928,1366.4043688805316,34.32339195788578,33.724334873347566
1.0,0.002516193917,0.1247713171,4.00787636,0.3797257485,0.1384784935,262.05437212325967,19.64386886870199,18.422939579973743
1.0,0.005643468569,0.215644623,0.2583258119,0.3770851593,0.1101266847,89.13849080164422,13.702103654504723,13.195919706209452
1.0,0.005059461129,0.3346282327,0.1330047495,0.2050191756,0.2227168076,90.10639198122277,13.901250526932726,13.74036761841849
1.0,0.006520732949,0.2229893963,0.2923960503,0.1622003097,0.1303870649,29.643622284586428,9.49273781468346,9.231200146476802
1.0,0.002595436693,4.154177342,0.2214580626,0.3321081597,0.3718476242,7270.175354019653,59.07245161584306,57.19471713464897
1.0,0.004660418897,7.935116364,1.069790098,0.1062236956,0.2670251482,1351.3515339213611,33.97661355980107,32.22163944621463
1.0,0.007721963065,3.061578769,2.9534958,0.1052083685,0.1090792536,189.56625771849573,17.636776660662466,16.32667593322994
1.0,0.001285781237,1.699146071,0.4159083034,0.1736816468,0.7189084136,8277.322998093561,56.35949042840549,55.55533133653589
1.0,0.002093425177,0.3449497906,0.5811230052,0.4351216128,0.7370935699,1113.2099253652839,32.49766140338212,32.16159274239753
1.0,0.008492078428,0.6143981502,5.92889958,0.4159968753,0.6186152478,123.73765853555193,15.288716965367037,14.668994625189423
1.0,0.001409818392,1.191846837,6.247977159,0.4652997984,0.1313412544,9188.290170338349,65.75166503866431,59.912719655241155
1.0,0.007072270991,1.193303908,0.2833425481,0.2927372185,0.6676351415,219.20684333956302,19.122495724425647,19.008032277258295
1.0,0.001689648201,7.528114541,4.34254693,0.3122379471,0.1111742521,26114.018319104325,94.37643828793647,85.09305825270349
1.0,0.003887154738,0.2585147726,3.198186856,0.2202203346,0.2083129572,131.9637334313007,15.613999562519014,14.833402529416155
1.0,0.003887154738,0.2585147726,3.198186856,0.2202203346,0.2083129572,131.9637334313007,15.613999562519014,14.833402529416155
1.0,0.00644549908,3.447590452,0.3582232449,0.1904141471,0.1290920575,550.3920696990635,25.18462702564039,23.859281086280884
1.0,0.001175128058,0.2211549526,1.140683139,0.1769027344,0.1144091673,987.4626487123375,30.597483905907833,28.95681449681724
1.0,0.006931682444,0.5308021687,0.1047361752,0.2617499773,0.1674645963,99.22502115411983,14.26580352754477,13.982337490879505
1.0,0.001358871582,3.050223966,1.14171181,0.4313368628,0.7072468576,28167.880591437166,89.5481261758718,86.13887518267123
1.0,0.001918861228,0.3643925314,0.2325759156,0.1158587665,0.7186603759,298.49115557960056,22.534527803365204,22.759843138469957
1.0,0.006124398201,0.204685468,0.5048444091,0.4206797041,0.7573515245,73.17702376494842,13.191113973208038,13.201320486939032
1.0,0.001016601735,5.857048341,3.486220468,0.1122211669,0.1049495088,20353.085473364292,86.53911169943275,78.77076682534202
1.0,0.004134712079,0.7798452745,1.101111012,0.2167354252,0.2720026773,342.79919227727083,21.520696468414883,20.66734850872142
1.0,0.005735896106,1.49077709,0.8555706301,0.1733692078,0.4940293897,266.97525529423734,19.91229963999964,19.41922888150432
1.0,0.007050588545,0.3144658583,0.864054725,0.3582706756,0.103356885,79.45460061933241,13.184241337128492,12.472258559294582
1.0,0.004219174199,0.1938745888,4.576705894,0.2184000847,0.3985879607,82.96922449196141,13.381933394324623,12.893217467525588
1.0,0.004372392443,5.607925502,0.4914961011,0.4748523059,0.226696959,4738.223311367794,52.03528009846448,49.14625262123201
1.0,0.002920238507,9.806292919,0.5027029599,0.2566142808,0.3379214002,10065.488383148062,66.7936388158568,63.60557006422381
1.0,0.002944499523,0.1556491924,8.209069501,0.2731599715,0.1362099989,172.09360635211627,17.071092105643242,15.889390738252652
1.0,0.001028703169,0.1923873524,3.17963225,0.2034647959,0.1747486058,1289.237759232544,33.4481536736602,31.569453065476633
1.0,0.004394124865,0.3707500497,2.143304285,0.2527295883,0.1016073413,170.26130437439446,17.00660544245663,15.899106787208751
1.0,0.001959279803,0.1568837748,0.8267025527,0.1480146258,0.1318859657,210.7115449145967,18.271214492825862,17.528309172003986
1.0,0.001457566613,0.8905423437,4.943045742,0.3589450571,0.1221836642,5072.678483829307,53.49855559065633,49.02457192487518
1.0,0.001183711081,1.163881777,0.7303246744,0.1462423861,0.1699508983,4160.692900748817,49.697886226274136,47.180952457057245
1.0,0.004913837847,8.78773188,0.1134604657,0.1627050235,0.1878675111,2056.088910565689,39.07755022514577,37.60369575783084
1.0,0.001488376214,2.000097234,3.623427633,0.1742698431,0.5503642848,5389.512445032881,54.158740879558714,51.632145735463645
1.0,0.001642883721,7.097975047,0.2438868267,0.4056793095,0.8796069041,48107.706573957,102.31991511659251,100.25205062665282
1.0,0.006637391282,7.365622055,0.1129625353,0.3137192927,0.2353358726,1819.1683276574995,37.5218898171687,36.20957112446263
1.0,0.008972605557,0.3464145626,0.8771869524,0.2911895513,0.128735991,43.893688476065044,10.815647076446956,10.303383541141866
1.0,0.00127550759,1.016404318,0.7474378585,0.4439560085,0.1350005662,9193.35231249056,65.50034008960134,61.354628609182804
1.0,0.009849888126,0.2527159617,0.9231400791,0.1093138284,0.3715508599,9.875920983528202,6.584397388844675,6.501479031808781
1.0,0.001831203534,6.007736586,0.4528211876,0.3591739641,0.2003462541,21114.98466637407,86.68589955774713,81.5615807907253
1.0,0.00204222887,0.1850276379,0.7231731307,0.2135926334,0.5203599683,303.27484557547683,21.176364323795628,20.94883175848925
