repeat,random_state,method,n_samples,theta_over_pi,theta_abs_error,normalized_error,objective_error,mutual_information,si_score,bandwidth
7,49,SI-DL,40,0.2368106549553874,0.01318934504461261,0.05275738017845044,0.0077095517783190015,,0.992290448221681,0.09
7,49,MI-DL,50,0.2606196767748333,0.010619676774833275,0.0424787070993331,0.34494080564356716,0.24818081858828833,,
7,49,SI-DL,50,0.24652355367236195,0.0034764463276380497,0.013905785310552199,0.01125714868207539,,0.9887428513179246,0.09
7,49,MI-DL,60,0.22761480449849514,0.022385195501504862,0.08954078200601945,0.20253399968312008,0.4973017854355284,,
7,49,SI-DL,60,0.24697487683976282,0.0030251231602371753,0.012100492640948701,0.03246087595623426,,0.9675391240437657,0.09
7,49,MI-DL,75,0.22526948302636368,0.02473051697363632,0.09892206789454527,0.24938293939092437,0.413603850866334,,
7,49,SI-DL,75,0.24588104751272885,0.004118952487271149,0.016475809949084597,0.020080350748364784,,0.9799196492516352,0.09
7,49,MI-DL,100,0.23567926800458341,0.014320731995416586,0.05728292798166634,0.12645287330395835,0.7294907484929398,,
7,49,SI-DL,100,0.2504678636389651,0.00046786363896511585,0.0018714545558604634,0.028120540029389796,,0.9718794599706102,0.09
7,49,MI-DL,130,0.24513329469160117,0.004866705308398833,0.019466821233595333,0.08330472415176224,0.8625785440359142,,
7,49,SI-DL,130,0.24762818909935128,0.0023718109006487242,0.009487243602594897,0.018730855065438146,,0.9812691449345619,0.08
