repeat,random_state,noise_percent,method,theta,theta_over_pi,theta_abs_error,normalized_error,objective_error,mutual_information,si_score
12,54,0,MI-DL,0.7875260215305544,0.25067731828016426,0.000677318280164263,0.002709273120657052,0.004187299265255039,2.072499010485827,
12,54,0,SI-DL,0.7841714849845731,0.2496095361340136,0.00039046386598640126,0.001561855463945605,0.005888168040061426,,0.9941118319599386
12,54,5,MI-DL,0.776329327342753,0.24711329982761046,0.002886700172389539,0.011546800689558157,0.010339610338819104,1.8412766407641854,
12,54,5,SI-DL,0.783092611680898,0.24926612009551405,0.0007338799044859512,0.0029355196179438048,0.007702795013889263,,0.9922972049861107
12,54,10,MI-DL,0.7827258467034847,0.2491493751772974,0.0008506248227025948,0.003402499290810379,0.018903292283515685,1.6124352108397666,
12,54,10,SI-DL,0.7820213960340778,0.24892514156489642,0.0010748584351035761,0.004299433740414305,0.014511365569607526,,0.9854886344303925
12,54,15,MI-DL,0.7844446523876218,0.24969648801898717,0.00030351198101283283,0.0012140479240513313,0.03245617243304418,1.4232494680405399,
12,54,15,SI-DL,0.7810099126305424,0.24860317639784027,0.0013968236021597302,0.005587294408638921,0.026154206858628015,,0.973845793141372
12,54,20,MI-DL,0.7842037602847779,0.24961980968114833,0.00038019031885166976,0.001520761275406679,0.04715583577807567,1.2815571607984673,
12,54,20,SI-DL,0.7800976216981624,0.2483127851749879,0.0016872148250121066,0.0067488593000484265,0.04232638048576853,,0.9576736195142315
12,54,25,MI-DL,0.7967362637500401,0.2536090294327739,0.0036090294327739136,0.014436117731095655,0.06771437783527609,1.1405309401863342,
12,54,25,SI-DL,0.7793087924440939,0.24806169302490688,0.0019383069750931181,0.0077532279003724724,0.06259912266949452,,0.9374008773305055
12,54,30,MI-DL,0.7992020076501243,0.2543939000929681,0.004393900092968084,0.017575600371872335,0.09626111960940159,1.0239180096056177,
12,54,30,SI-DL,0.7786555881806358,0.2478537716501508,0.002146228349849205,0.00858491339939682,0.0864489983059662,,0.9135510016940338
13,55,0,MI-DL,0.7867593549689514,0.2504332807341995,0.00043328073419951485,0.0017331229367980594,0.004674033364498844,2.002305293217449,
13,55,0,SI-DL,0.7854682633032777,0.25002231349304604,2.2313493046044464e-05,8.925397218417785e-05,0.005638961190040259,,0.9943610388099597
13,55,5,MI-DL,0.7764315311361804,0.24714583230546391,0.002854167694536086,0.011416670778144344,0.0113145640140976,1.725103584321185,
13,55,5,SI-DL,0.7867984186623069,0.2504457150939854,0.0004457150939853882,0.0017828603759415529,0.008572839274458732,,0.9914271607255413
13,55,10,MI-DL,0.7923316919931088,0.2522070106981368,0.00220701069813678,0.00882804279254712,0.02185485765842144,1.514418985718037,
13,55,10,SI-DL,0.7880433394079509,0.2508419856748392,0.0008419856748391741,0.0033679426993566963,0.01668370413714315,,0.9833162958628568
13,55,15,MI-DL,0.796981986012985,0.2536872452583247,0.0036872452583247006,0.014748981033298803,0.03630057561332273,1.3446060372751845,
13,55,15,SI-DL,0.7892426679576352,0.25122374380898616,0.0012237438089861552,0.004894975235944621,0.029741286184668092,,0.9702587138153319
13,55,20,MI-DL,0.7946158140225997,0.2529340693213739,0.002934069321373911,0.011736277285495644,0.05423603016867288,1.2101083933319439,
13,55,20,SI-DL,0.790422769569676,0.2515993818188002,0.0015993818188002051,0.0063975272752008205,0.047371866830029696,,0.9526281331699703
13,55,25,MI-DL,0.7847543628499843,0.2497950719210117,0.000204928078988309,0.000819712315953236,0.07400348227287136,1.1087143162294364,
13,55,25,SI-DL,0.7915882698556925,0.25197037208218925,0.0019703720821892534,0.007881488328757014,0.06908564551163032,,0.9309143544883697
13,55,30,MI-DL,0.7725385578454108,0.24590666042036252,0.004093339579637478,0.016373358318549913,0.09573845728463809,1.0046463320494814,
13,55,30,SI-DL,0.7927221585977392,0.2523313000786152,0.002331300078615206,0.009325200314460824,0.09431015007625487,,0.9056898499237451
14,56,0,MI-DL,0.785405752850126,0.25000241579781807,2.4157978180672224e-06,9.66319127226889e-06,0.003487117599026217,2.1312856234169084,
14,56,0,SI-DL,0.786381359276136,0.25031296096824146,0.00031296096824146025,0.001251843872965841,0.004733966614601126,,0.9952660333853989
14,56,5,MI-DL,0.7920313022850618,0.25211139368435753,0.002111393684357532,0.008445574737430128,0.009561243521838006,1.860219688742771,
14,56,5,SI-DL,0.7873673054576431,0.25062679738506033,0.0006267973850603292,0.002507189540241317,0.0069262943693400025,,0.99307370563066
14,56,10,MI-DL,0.7911465997595627,0.2518297841241594,0.001829784124159406,0.007319136496637624,0.018263801508885014,1.6405100873452163,
