U,nu,x,y,u,v,u_over_U,v_over_U,known_eta,u_over_U_clean,u_over_U_noisy,noise,MI-DL_pi1,SI-DL_pi1,Known Blasius_pi1
0.01,1e-06,0.011241379310344829,0.0034449695296142426,0.008696920522536114,0.0006112175510065356,0.8696920522536113,0.061121755100653555,3.249193560820799,0.8696920522536113,0.8724023438398842,0.002710291586272933,3.56474577233679,3.3770748379121134,3.2491935608208027
0.01,1e-06,0.011241379310344829,0.0038166328106824915,0.009136229234687144,0.0006819845884596229,0.9136229234687143,0.06819845884596229,3.599735395591602,0.9136229234687143,0.9266381864449428,0.0130152629762285,3.9493312087337302,3.7414132460988423,3.5997353955916043
0.01,1e-06,0.011241379310344829,0.004188296091750741,0.009454706865230289,0.0007385276177769648,0.9454706865230289,0.07385276177769648,3.950277230362405,0.9454706865230289,0.9501330119531461,0.004662325430117202,4.333916645130674,4.105751654285574,3.950277230362409
0.01,1e-06,0.011241379310344829,0.004559959372818991,0.00967284244350258,0.000780844483278368,0.967284244350258,0.0780844483278368,4.300819065133208,0.967284244350258,0.9676568211867062,0.00037257683644822037,4.718502081527616,4.470090062472304,4.300819065133212
0.01,1e-06,0.011241379310344829,0.00493162265388724,0.009813770840836088,0.0008105019600899036,0.9813770840836088,0.08105019600899036,4.65136089990401,0.9813770840836088,0.9967884222939555,0.015411338210346728,5.103087517924559,4.834428470659035,4.651360899904017
0.01,1e-06,0.011241379310344829,0.0053032859349554885,0.00989955669670462,0.0008299661542135907,0.989955669670462,0.08299661542135907,5.001902734674814,0.989955669670462,1.0213686396943582,0.031412970023896286,5.4876729543215,5.198766878845765,5.001902734674819
0.01,1e-06,0.011241379310344829,0.005674949216023738,0.009948723639714906,0.0008419305149248327,0.9948723639714906,0.08419305149248327,5.352444569445617,0.9948723639714906,0.9745575850390136,-0.02031477893247707,5.872258390718445,5.563105287032498,5.352444569445625
0.01,1e-06,0.011241379310344829,0.006046612497091987,0.009975244557374637,0.0008488203888342184,0.9975244557374637,0.08488203888342184,5.70298640421642,0.9975244557374637,0.9974383336564892,-8.61220809745572e-05,6.2568438271153815,5.927443695219224,5.702986404216423
0.01,1e-06,0.011241379310344829,0.006418275778160236,0.009988704980205662,0.0008525386810244761,0.9988704980205663,0.0852538681024476,6.053528238987222,0.9988704980205663,1.010254955025476,0.011384457004909794,6.641429263512324,6.2917821034059545,6.0535282389872265
0.01,1e-06,0.011241379310344829,0.006789939059228486,0.009995132279642847,0.0008544198733624599,0.9995132279642848,0.08544198733624599,6.404070073758025,0.9995132279642848,1.000798223111229,0.0012849951469441267,7.026014699909268,6.656120511592686,6.404070073758032
0.01,1e-06,0.011241379310344829,0.007161602340296735,0.009998019437973089,0.000855312401222736,0.9998019437973088,0.0855312401222736,6.754611908528828,0.9998019437973088,1.0213023574313478,0.021500413634039085,7.410600136306213,7.0204589197794185,6.754611908528838
0.01,1e-06,0.011241379310344829,0.007533265621364984,0.009999239461771326,0.000855709624634358,0.9999239461771325,0.08557096246343579,7.10515374329963,0.9999239461771325,0.9949158212662651,-0.005008124910867413,7.7951855727031525,7.3847973279661465,7.105153743299638
0.01,1e-06,0.011241379310344829,0.007904928902433233,0.009999724424477803,0.0008558754990461955,0.9999724424477803,0.08558754990461954,7.455695578070433,0.9999724424477803,0.9847759245304941,-0.015196517917286108,8.179771009100095,7.749135736152878,7.455695578070443
0.01,1e-06,0.011241379310344829,0.00827659218350148,0.00999990577268242,0.0008559405099100018,0.9999905772682419,0.08559405099100018,7.806237412841234,0.9999905772682419,1.0130366166206088,0.013046039352366859,8.564356445497035,8.113474144339605,7.806237412841243
0.01,1e-06,0.011241379310344829,0.00864825546456973,0.009999969560904693,0.000855964426495014,0.9999969560904693,0.08559644264950139,8.156779247612038,0.9999969560904693,0.9584404802856563,-0.04155647580481298,8.948941881893978,8.477812552526338,8.156779247612048
0.01,1e-06,0.011241379310344829,0.00901991874563798,0.009999990667912417,0.0008559726875383141,0.9999990667912416,0.08559726875383142,8.507321082382841,0.9999990667912416,0.992869036365036,-0.007130030426205591,9.333527318290917,8.842150960713065,8.507321082382848
0.01,1e-06,0.011241379310344829,0.009391582026706228,0.009999997239004592,0.0008559753675404273,0.9999997239004592,0.08559753675404272,8.857862917153643,0.9999997239004592,1.0354593301182617,0.035459606217802475,9.718112754687864,9.206489368899799,8.857862917153655
0.01,1e-06,0.011241379310344829,0.009763245307774478,0.009999999160261825,0.0008559761826594553,0.9999999160261825,0.08559761826594553,9.208404751924446,0.9999999160261825,1.0003932195020102,0.00039330347582775097,10.102698191084807,9.57082777708653,9.208404751924459
0.01,1e-06,0.011241379310344829,0.010134908588842728,0.009999999696732185,0.0008559764192066849,0.9999999696732185,0.08559764192066849,9.55894658669525,0.9999999696732185,1.0053616569332673,0.0053616872600489255,10.487283627481748,9.93516618527326,9.558946586695262
0.01,1e-06,0.011241379310344829,0.010506571869910976,0.00999999983176261,0.0008559764809587098,0.9999999831762609,0.08559764809587098,9.909488421466051,0.9999999831762609,0.9857385962526738,-0.014261386923587183,10.871869063878687,10.299504593459988,9.909488421466063
0.01,1e-06,0.014655172413793105,0.0004716632810682492,0.0010192490572596459,9.938844173151613e-06,0.10192490572596459,0.0009938844173151612,0.3896158370538229,0.10192490572596459,0.10157741237523558,-0.0003474933507290021,0.4296849423485617,0.4058291223023682,0.38961583705382286
