Nu,MI-DL_raw_pi1,SI-DL_raw_pi1,Known_Ra_raw_pi1,source
1164.2336000396326,16720.6635170484,15708.264405352209,17383.948380477974,Niemela
1190.2166363984488,17208.865719481382,16123.120643123117,17908.77818777007,Niemela
1466.0351118006445,21620.35168944961,19978.82954757812,22576.747722689066,Niemela
1499.0134915780072,22281.94426175465,20557.27717485073,23274.779874886175,Niemela
2019.6697352268288,27808.251063791944,25289.825744412294,29168.3907101363,Niemela
2117.6062026879586,29175.539175968766,26457.95721509941,30623.595066269856,Niemela
2.16,41.96050533359747,42.66085204410506,41.52448786133746,"Chavanne, X."
1.360000000257145,36.698614077310886,37.2107558663008,36.518219267512826,"Chavanne, X."
1.050000000325638,34.65251276558345,35.13610142391104,34.482175401251986,"Chavanne, X."
5.770000001888333,64.067429368534,65.4857888316672,62.658272957492215,"Chavanne, X."
1.0100000002431386,33.27430440079433,33.738658708450615,33.11074206520969,"Chavanne, X."
6.929999997090971,71.51499841195788,73.24350695199776,69.6581967186612,"Chavanne, X."
6.160000001426328,66.51754077618246,68.04319117431056,64.95065631401862,"Chavanne, X."
5.059999999991335,59.67604764963324,60.93763813556237,58.480357454762654,"Chavanne, X."
3.2499999985590495,49.26831331936698,50.225756291261376,48.48807250149708,"Chavanne, X."
12.299999998773002,113.1239889671152,115.8271206218265,110.24739203561822,"Chavanne, X."
12.100000002193712,111.34398688970157,113.97175235439163,108.57668789483701,"Chavanne, X."
11.69999999972472,107.29640570225843,109.75736075840626,104.76893661233646,"Chavanne, X."
11.100000001902528,101.63177236767973,103.88175333035937,99.39639157359413,"Chavanne, X."
11.299999998083937,102.33473973481247,104.64312162261287,99.9999909987845,"Chavanne, X."
20.400000000512502,229.3614513033579,233.07273008917522,227.01859811426996,"Chavanne, X."
25.800000004563287,338.1868795483819,345.336324718244,331.41086431260504,"Chavanne, X."
32.79999999086504,450.6366244600687,461.8556398571021,438.29977518123735,"Chavanne, X."
20.000000001780947,229.39202744747993,232.4766435538521,228.30514444439882,"Chavanne, X."
26.00000000487303,331.6769871975386,337.9529763406967,326.48258963200897,"Chavanne, X."
33.69999999979033,455.78689068997846,466.543633434636,444.4589526714861,"Chavanne, X."
48.69999998726709,669.617000572857,678.6212422533061,666.4443018196794,"Chavanne, X."
66.1000000012849,953.9527033402206,972.3662459459566,937.5109832938576,"Chavanne, X."
92.2999999899865,1403.1717701746945,1437.6965969626956,1364.4103071133907,"Chavanne, X."
156.99999999571082,2543.1381716618043,2601.45574216705,2477.1226703587786,"Chavanne, X."
139.0000000248539,2240.1061815369626,2288.3903438129564,2189.7623259949996,"Chavanne, X."
89.09999998614671,1374.3822119549811,1395.2513140300598,1360.818008219958,"Chavanne, X."
94.79999998984277,1458.2417725100138,1480.384206496246,1443.8499401142687,"Chavanne, X."
101.99999999656426,1607.0651280763477,1634.0403686705495,1586.0768481250946,"Chavanne, X."
72.80000002480936,1079.0753748348877,1092.51327244566,1074.337297092157,"Chavanne, X."
109.99999998147335,1732.5249375510268,1751.6120447354738,1725.788514540063,"Chavanne, X."
148.99999999478808,2455.891103219232,2489.6455626822526,2432.8808023072256,"Chavanne, X."
201.00000002415476,3403.5671797362725,3467.391881560331,3335.219211798783,"Chavanne, X."
252.99999995924583,4378.958360327805,4476.98922888596,4259.837839598221,"Chavanne, X."
293.0000000125798,5025.330751177064,5123.826960418765,4904.869220667857,"Chavanne, X."
248.00000000609472,4266.1861848364215,4338.101058439169,4186.961085143057,"Chavanne, X."
204.99999992338542,3478.4553761170405,3525.4623378057445,3436.962962341012,"Chavanne, X."
164.00000001323562,2723.263743945661,2748.3052117903717,2714.4150247742177,"Chavanne, X."
365.000000012522,6002.455905532866,5983.404667777956,6009.244425409862,"Chavanne, X."
442.9999999491468,7399.555318729653,7407.632039046504,7343.420248944595,"Chavanne, X."
552.0000000298866,9055.996625072916,9090.337920017759,8937.841664208372,"Chavanne, X."
544.0000000133329,9072.877691441077,9107.283001270933,8954.50248070956,"Chavanne, X."
655.0000000154083,10529.032915650476,10631.213242727697,10322.80326653929,"Chavanne, X."
647.999999984887,10457.585147935451,10555.501854412603,10259.859010276285,"Chavanne, X."
650.0000000127275,10497.02745390909,10598.897179948668,10291.424688121135,"Chavanne, X."
653.000000037506,10529.032915650476,10631.213242727697,10322.80326653929,"Chavanne, X."
714.0000002658896,11401.534708564703,11544.482901859119,11133.377130554507,"Chavanne, X."
707.9999999001617,11433.665778057932,11579.326650197085,11160.1940613511,"Chavanne, X."
395.00000004061224,6427.27601383846,6371.277952067565,6447.3052291261965,"Chavanne, X."
384.00000004386806,6263.244097310334,6208.674784332985,6282.7622829340935,"Chavanne, X."
484.9999999703236,7940.183074424624,7892.236669227569,7921.0990538437945,"Chavanne, X."
688.9999999785464,11092.62975447469,11072.825548367766,10969.613494005112,"Chavanne, X."
934.0000001312881,14554.209537154678,14626.1459612986,14260.431205899758,"Chavanne, X."
483.0000000367068,7624.22967869611,7578.190729608668,7605.905191126028,"Chavanne, X."
