basis_direction_1_coef,basis_direction_2_coef,S_cov
-0.6516666666666666,-1.0733333333333333,0.6273183072599607
-0.6133333333333333,-1.0733333333333333,0.6211833290898716
-0.575,-1.0733333333333333,0.6147312044982851
-0.5366666666666666,-1.0733333333333333,0.6079371962964609
-0.4983333333333333,-1.0733333333333333,0.6013488311256496
-0.45999999999999996,-1.0733333333333333,0.595068948507854
-0.42166666666666663,-1.0733333333333333,0.5886249770877311
-0.3833333333333333,-1.0733333333333333,0.5823511996431116
-0.345,-1.0733333333333333,0.5765025243412594
-0.30666666666666664,-1.0733333333333333,0.5686499682862999
-0.2683333333333333,-1.0733333333333333,0.5541562307448544
-0.22999999999999998,-1.0733333333333333,0.5309318859734065
-0.19166666666666665,-1.0733333333333333,0.4990576626718043
-0.15333333333333332,-1.0733333333333333,0.45727655403179596
-0.11499999999999999,-1.0733333333333333,0.40563707524839326
-0.07666666666666666,-1.0733333333333333,0.34381758895424624
-0.03833333333333333,-1.0733333333333333,0.2707282986311451
0.0,-1.0733333333333333,0.19272366742584887
0.03833333333333333,-1.0733333333333333,0.16945635740472112
0.07666666666666666,-1.0733333333333333,0.15322149529739792
0.11499999999999999,-1.0733333333333333,0.140119964149275
0.15333333333333332,-1.0733333333333333,0.13247394787760733
0.19166666666666665,-1.0733333333333333,0.13104395313057304
0.22999999999999998,-1.0733333333333333,0.13625981388273814
0.2683333333333333,-1.0733333333333333,0.14782657242860744
0.30666666666666664,-1.0733333333333333,0.1664356445533866
0.345,-1.0733333333333333,0.18937415226058033
0.3833333333333333,-1.0733333333333333,0.21240894218952455
0.42166666666666663,-1.0733333333333333,0.23587784680482474
0.45999999999999996,-1.0733333333333333,0.2592185788848743
0.4983333333333333,-1.0733333333333333,0.2815625246981285
0.5366666666666666,-1.0733333333333333,0.30288930541019404
0.575,-1.0733333333333333,0.323125820694574
0.6133333333333333,-1.0733333333333333,0.34231597828865407
0.6516666666666666,-1.0733333333333333,0.3604075923751332
0.69,-1.0733333333333333,0.3775806850298497
0.7283333333333333,-1.0733333333333333,0.3939490925012525
0.7666666666666666,-1.0733333333333333,0.4094260062019453
0.8049999999999999,-1.0733333333333333,0.4238760683541329
0.8433333333333333,-1.0733333333333333,0.4372615377973791
0.8816666666666664,-1.0733333333333333,0.4497915886224589
0.9199999999999999,-1.0733333333333333,0.4617240746965115
0.9583333333333335,-1.0733333333333333,0.47314510583865105
0.9966666666666666,-1.0733333333333333,0.48400595968405075
1.0349999999999997,-1.0733333333333333,0.49424505748157155
1.0733333333333333,-1.0733333333333333,0.5038415562872103
1.1116666666666668,-1.0733333333333333,0.5128192502823801
1.15,-1.0733333333333333,0.5212330176289727
-1.15,-1.035,0.6888649557133733
-1.1116666666666666,-1.035,0.6857232086420469
-1.0733333333333333,-1.035,0.6824019670333775
-1.035,-1.035,0.6788822110436632
-0.9966666666666666,-1.035,0.6751488261498272
-0.9583333333333333,-1.035,0.6711959202350222
-0.9199999999999999,-1.035,0.6670250031066318
-0.8816666666666666,-1.035,0.6626400721238593
-0.8433333333333333,-1.035,0.6580391081888584
-0.8049999999999999,-1.035,0.653202482172838
-0.7666666666666666,-1.035,0.6480942891961621
-0.7283333333333333,-1.035,0.6427046947529923
-0.69,-1.035,0.6370637754680638
-0.6516666666666666,-1.035,0.6311023555162575
-0.6133333333333333,-1.035,0.624833960141376
-0.575,-1.035,0.6183775524801904
-0.5366666666666666,-1.035,0.6114667288373103
-0.4983333333333333,-1.035,0.6044739287844152
-0.45999999999999996,-1.035,0.597856409602201
-0.42166666666666663,-1.035,0.5912584867956401
-0.3833333333333333,-1.035,0.5845911890113273
-0.345,-1.035,0.5784936736711646
-0.30666666666666664,-1.035,0.5713985489114317
-0.2683333333333333,-1.035,0.5588359688612293
-0.22999999999999998,-1.035,0.5367551367710696
-0.19166666666666665,-1.035,0.5056115664609141
-0.15333333333333332,-1.035,0.46411679672748063
-0.11499999999999999,-1.035,0.4118904819474342
-0.07666666666666666,-1.035,0.348720575363544
-0.03833333333333333,-1.035,0.2736046648015088
0.0,-1.035,0.19272366742584887
0.03833333333333333,-1.035,0.16875500423680592
0.07666666666666666,-1.035,0.15222844621630857
0.11499999999999999,-1.035,0.13915026753857027
0.15333333333333332,-1.035,0.13185979475772
0.19166666666666665,-1.035,0.1315135519889412
0.22999999999999998,-1.035,0.13822318055003377
0.2683333333333333,-1.035,0.1520747021161845
0.30666666666666664,-1.035,0.17315972675534783
0.345,-1.035,0.19697422269660864
0.3833333333333333,-1.035,0.2210812687222125
0.42166666666666663,-1.035,0.24543294689355827
0.45999999999999996,-1.035,0.2692997430891964
0.4983333333333333,-1.035,0.29194613189187035
0.5366666666666666,-1.035,0.3135203849889229
0.575,-1.035,0.33391523636494863
0.6133333333333333,-1.035,0.35316672562170437
0.6516666666666666,-1.035,0.37131193169560067
0.69,-1.035,0.3885868594997079
0.7283333333333333,-1.035,0.4049405823604481
0.7666666666666666,-1.035,0.42023485784282866
0.8049999999999999,-1.035,0.43437130617976843
0.8433333333333333,-1.035,0.447522243806067
0.8816666666666664,-1.035,0.45998848616997456
0.9199999999999999,-1.035,0.4719024134770271
0.9583333333333335,-1.035,0.48322221479510896
0.9966666666666666,-1.035,0.49387730693778015
1.0349999999999997,-1.035,0.5038415562872102
1.0733333333333333,-1.035,0.5131405319067235
1.1116666666666668,-1.035,0.5218356164122834
1.15,-1.035,0.5299978350824801
-1.15,-0.9966666666666666,0.6922877932020185
-1.1116666666666666,-0.9966666666666666,0.6892167014053779
-1.0733333333333333,-0.9966666666666666,0.6859710180620281
-1.035,-0.9966666666666666,0.6825332581188891
-0.9966666666666666,-0.9966666666666666,0.6788822110436632
-0.9583333333333333,-0.9966666666666666,0.6750008575192468
-0.9199999999999999,-0.9966666666666666,0.6708827727514205
-0.8816666666666666,-0.9966666666666666,0.6665299077683209
-0.8433333333333333,-0.9966666666666666,0.6619465406695069
-0.8049999999999999,-0.9966666666666666,0.6571282494829792
-0.7666666666666666,-0.9966666666666666,0.6520491228391038
-0.7283333333333333,-0.9966666666666666,0.646669528941627
-0.69,-0.9966666666666666,0.6409962709989685
-0.6516666666666666,-0.9966666666666666,0.6350421020351824
-0.6133333333333333,-0.9966666666666666,0.6287157041860646
-0.575,-0.9966666666666666,0.6221376512382447
-0.5366666666666666,-0.9966666666666666,0.6152454776361516
-0.4983333333333333,-0.9966666666666666,0.6079371962964609
-0.45999999999999996,-0.9966666666666666,0.6008588132473954
-0.42166666666666663,-0.9966666666666666,0.5940881516001626
-0.3833333333333333,-0.9966666666666666,0.5871377484345756
-0.345,-0.9966666666666666,0.5805769018677942
-0.30666666666666664,-0.9966666666666666,0.5739177558732523
-0.2683333333333333,-0.9966666666666666,0.5630928490856901
-0.22999999999999998,-0.9966666666666666,0.5425812326722436
-0.19166666666666665,-0.9966666666666666,0.5123691191473808
-0.15333333333333332,-0.9966666666666666,0.47125336769845927
-0.11499999999999999,-0.9966666666666666,0.41841323138988334
-0.07666666666666666,-0.9966666666666666,0.35398618642148294
-0.03833333333333333,-0.9966666666666666,0.27668848508968086
0.0,-0.9966666666666666,0.19272366742584887
0.03833333333333333,-0.9966666666666666,0.16800479383443498
0.07666666666666666,-0.9966666666666666,0.1511875773669596
0.11499999999999999,-0.9966666666666666,0.13799150326810575
0.15333333333333332,-0.9966666666666666,0.1311657428899698
0.19166666666666665,-0.9966666666666666,0.13236641505614716
0.22999999999999998,-0.9966666666666666,0.1406720806192342
0.2683333333333333,-0.9966666666666666,0.15701026119841696
0.30666666666666664,-0.9966666666666666,0.18050252238887285
0.345,-0.9966666666666666,0.20527214238465477
0.3833333333333333,-0.9966666666666666,0.2304748530527365
0.42166666666666663,-0.9966666666666666,0.25567544177052337
0.45999999999999996,-0.9966666666666666,0.27988584461880633
0.4983333333333333,-0.9966666666666666,0.30288930541019404
0.5366666666666666,-0.9966666666666666,0.32463813261922847
0.575,-0.9966666666666666,0.34517190006786075
0.6133333333333333,-0.9966666666666666,0.3644415571967248
0.6516666666666666,-0.9966666666666666,0.38270596587416167
0.69,-0.9966666666666666,0.40001366677171035
0.7283333333333333,-0.9966666666666666,0.41623070316708366
0.7666666666666666,-0.9966666666666666,0.4312074222230258
0.8049999999999999,-0.9966666666666666,0.4450545307849602
0.8433333333333333,-0.9966666666666666,0.45810714259493923
0.8816666666666664,-0.9966666666666666,0.47055651747092153
0.9199999999999999,-0.9966666666666666,0.48237436430127273
0.9583333333333335,-0.9966666666666666,0.4934802759831868
0.9966666666666666,-0.9966666666666666,0.5038415562872103
1.0349999999999997,-0.9966666666666666,0.5134856647676834
1.0733333333333333,-0.9966666666666666,0.5224815359079663
1.1116666666666668,-0.9966666666666666,0.5309082001663101
1.15,-0.9966666666666666,0.5388292898415064
-1.15,-0.9583333333333333,0.6957576987864987
-1.1116666666666666,-0.9583333333333333,0.6927637837127449
-1.0733333333333333,-0.9583333333333333,0.6895941750448281
-1.035,-0.9583333333333333,0.686237471070697
-0.9966666666666666,-0.9583333333333333,0.6826747231693929
-0.9583333333333333,-0.9583333333333333,0.6788822110436632
-0.9199999999999999,-0.9583333333333333,0.6748406855346104
-0.8816666666666666,-0.9583333333333333,0.6705431247489583
-0.8433333333333333,-0.9583333333333333,0.6659920172729905
-0.8049999999999999,-0.9583333333333333,0.6611917830017472
-0.7666666666666666,-0.9583333333333333,0.6561345343344301
-0.7283333333333333,-0.9583333333333333,0.6507866037544288
-0.69,-0.9583333333333333,0.6451082891955662
-0.6516666666666666,-0.9583333333333333,0.6391251570321062
